_id,rpa,regiao,bairro,local,qtdzonas,endereco,latitude,longitude
1,1,CENTRO,Bairro do Recife,Avenida Alfredo Lisboa,1,"Avenida Alfredo Lisboa, em frente a Justiça Militar",-8.064406,-34.872095
2,1,CENTRO,Bairro do Recife,Avenida Marquês de Olinda,1,Avenida Marquês de Olinda,-8.063311,-34.871705
3,1,CENTRO,Bairro do Recife,Rua do Bom Jesus,1,"Rua do Bom Jesus, em frente ao N. 171",-8.06211,-34.87141
4,1,CENTRO,Bairro do Recife,Avenida Rio Branco,4,Avenida Rio Branco,-8.062683,-34.873032
5,1,CENTRO,Bairro do Recife,Praça do Arsenal,1,"Praça do Arsenal da Marinha, s/n – Bairro do Recife ",-8.061057,-34.871294
6,1,CENTRO,Bairro do Recife,"Pça Marco Zero (Freq. 5Ghz, devido à interferência no local)",2,Avenida Alfredo Lisboa,-8.063304,-34.871003
7,1,CENTRO,Bairro do Recife,Rua Madre de Deus,1,"Rua Madre de Deus, em frente a rua da Moeda",-8.06474,-34.87348
8,1,CENTRO,Bairro do Recife,Emprel,1,"Rua do Brum, 123, Bairro do Recife",-8.05932,-34.87211
9,1,CENTRO,Bairro do Recife,Rua da Guia,1,Rua da Guia ,-8.061337,-34.871626
10,1,CENTRO,Bairro do Recife,Rua da Moeda,1,Rua da Moeda em frente ao N. 170,-8.064716,-34.873403
11,1,CENTRO,Bairro do Recife,Rua Mariz e Barros,1,Próximo à esquina da Rua da moeda,-8.064472,-34.872085
12,1,CENTRO,Bairro do Recife,Forte do Brum,1,"Praça da Comunidade Luso Brasileira, Bairro do Recife ",-8.052906,-34.870875
13,1,CENTRO,Boa Vista,Mercado da Boa Vista,3,"Rua da Santa Cruz, 144 - Boa Vista",-8.063280,-34.888409
14,1,CENTRO,Boa Vista,Policlínica Gouveia de Barros,1,"Largo da Santa Cruz, 140 - Boa Vista",-8.062069,-34.888101
15,1,CENTRO,Coelhos,Praça Reginaldo Rossi,1,"Largo dos Coelhos,29 - Coelhos",-8.0685353,-34.889801
16,1,CENTRO,Santo Amaro,Parque 13 de Maio,4,"Santo Amaro, só 1 funciona, problema nos rádios de enlace",-8.056035,-34.881836
17,1,CENTRO,Santo Amaro,Policlínica Professor Waldemar de Oliveira,1,"Rua do Pombal, 115",-8.051961,-34.884920
18,1,CENTRO,Santo Amaro,Rua da Aurora,1,"Rua da Aurora, em frente a Globo",-8.054775,-34.876833
19,1,CENTRO,Santo Antônio,Casa da Cultura,3,"Rua do Cais da Detenção, S/N - Santo Antônio",-8.066003,-34.883227
20,1,CENTRO,Santo Antônio,Em frente ao Correio,1,"Av. Guararapes, poste nº B018617 - Santo Antônio",-8.062677,-34.880220
21,1,CENTRO,Santo Antônio,Praça do Diário,1,"Av. Dantas Barreto, Praça do Diário, poste nº C015004 ",-8.064351,-34.878176
22,1,CENTRO,Santo Antônio,Praça da República,1,Em frente ao Palacio do Campo das Princesas - Santo Antônio,-8.060867,-34.877560
23,1,CENTRO,São José,Forte Cinco Pontas,1,"Praça das Cinco Pontas, s/n",-8.071941,-34.880949
24,1,CENTRO,São José,Conj. Habitacional Travessa do Gusmão,1,"Conj. Habitacional Travessa do Gusmão, nº 91, CEP 50020-520",-8.0720875,-34.8866914
